,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
591,2016-08-14,14,14,0.0,1027,18
592,2016-08-15,15,6,0.0,1030,24
593,2016-08-16,15,10,0.0,1027,24
594,2016-08-17,16,6,0.0,1023,24
595,2016-08-18,16,8,0.0,1022,24
596,2016-08-19,17,21,0.0,1016,24
597,2016-08-20,13,26,0.0,1015,16
598,2016-08-21,12,7,0.0,1018,19
599,2016-08-22,12,8,0.0,1015,16
600,2016-08-23,12,20,0.3,1013,16
601,2016-08-24,13,16,3.6,1010,13
602,2016-08-25,12,19,0.0,1011,15
603,2016-08-26,12,23,1.1,1018,15
604,2016-08-27,12,6,0.0,1022,20
605,2016-08-28,12,9,0.0,1021,19
606,2016-08-29,13,5,0.0,1025,18
607,2016-08-30,16,13,0.0,1024,19
608,2016-08-31,17,20,0.0,1018,18
609,2016-09-01,17,3,0.0,1017,25
610,2016-09-02,16,4,4.7,1008,16
611,2016-09-03,16,36,0.0,1004,17
612,2016-09-04,14,10,0.0,1022,19
613,2016-09-05,14,5,0.0,1028,24
614,2016-09-06,15,11,0.0,1027,24
615,2016-09-07,17,12,0.0,1029,21
616,2016-09-08,17,17,0.0,1026,24
617,2016-09-09,18,23,0.0,1018,25
618,2016-09-10,17,26,0.0,1013,20
619,2016-09-11,15,5,0.0,1018,25
620,2016-09-12,15,7,0.0,1019,25
621,2016-09-13,17,7,0.1,1019,19
622,2016-09-14,18,13,0.0,1010,25
623,2016-09-15,16,28,0.0,1010,21
624,2016-09-16,16,16,0.0,1016,20
625,2016-09-17,16,8,0.0,1020,24
626,2016-09-18,15,4,0.2,1008,17
627,2016-09-19,15,20,0.0,1010,19
