,Date,Temp,Wind,Precip,Pressure,Heat
371,2016-01-07,22.75,16.25,0.2,1014,29.25
372,2016-01-08,22.75,15,0,1016.75,28.75
373,2016-01-09,22.5,12.75,0,1016.25,29.25
374,2016-01-10,23.5,16.5,0,1014.75,28.25
375,2016-01-11,24,15.25,0.175,1011.25,30.5
376,2016-01-12,24.75,20.25,0,1012.25,30.5
377,2016-01-13,22.75,15.75,0.35,1015.5,30
378,2016-01-14,22,17,0,1018,30.25
379,2016-01-15,21.25,18.5,0.05,1020.25,28.25
380,2016-01-16,22.5,19.5,0.075,1020.25,26
381,2016-01-17,22.25,18.25,0,1016.25,27
382,2016-01-18,22.75,15.5,0,1013,26.5
383,2016-01-19,22.75,14.5,0,1010.5,29.25
384,2016-01-20,23,15.25,0,1010.75,30.25
385,2016-01-21,24.25,16.75,0.5,1011.25,31.5
386,2016-01-22,23.5,14.25,0.325,1010.5,29.75
387,2016-01-23,22.75,18.25,0.225,1010.75,28.25
388,2016-01-24,22.5,16.75,0.075,1012,28.75
389,2016-01-25,23.75,14.5,0.05,1012.25,28.75
390,2016-01-26,23.25,15,0.55,1013.75,29.75
391,2016-01-27,23.25,17.5,0.3,1012.25,28.25
392,2016-01-28,22.25,17,0.15,1008.75,27.75
393,2016-01-29,22.5,16,0.525,1004.75,29.75
394,2016-01-30,24,17.5,0.025,1004.75,29.25
395,2016-01-31,23.25,21.25,0.025,1005,28.75
396,2016-02-01,21.75,13.75,0.275,1006,28
397,2016-02-02,21.5,17.5,0.4,1005.5,29
398,2016-02-03,22,12.25,0.475,1009.25,28.25
399,2016-02-04,21.5,20.5,0.5,1013,27
400,2016-02-05,22,22.5,0.075,1013.75,27.25
401,2016-02-06,22.75,19.25,0.075,1013.75,28.5
402,2016-02-07,23.25,16,0.05,1014.5,30.25
403,2016-02-08,23.75,13.5,0,1015.75,31.25
404,2016-02-09,24,20.5,0,1015.5,30.75
405,2016-02-10,24.25,18.25,0,1012,31.25
406,2016-02-11,23.5,17.75,0,1012.5,29.5
407,2016-02-12,22.75,22,0.075,1013.75,28.5
408,2016-02-13,22.25,22,0.4,1012.75,27.75
409,2016-02-14,22,16,0,1011.75,30
410,2016-02-15,22,15.5,0.075,1012.25,28.25
411,2016-02-16,22.5,13.5,0.025,1012,29.25
412,2016-02-17,22.75,14.75,0,1011.75,27.75
413,2016-02-18,22,15.5,0.025,1010.75,28.25
414,2016-02-19,22,18.5,0.225,1012.75,29.25
415,2016-02-20,22.25,16,0.025,1016.25,27.75
416,2016-02-21,23,18.5,0.175,1018.5,28.25
417,2016-02-22,23.75,18.75,0,1018.75,29.5
418,2016-02-23,23,21,0,1015,29.25
419,2016-02-24,21.5,19.25,0.1,1013.5,28.25
420,2016-02-25,22,13.75,0,1015,29.5
421,2016-02-26,22,14.75,0.025,1015.5,29
422,2016-02-27,24,22,0.05,1015.25,29.75
423,2016-02-28,22.25,14.25,0.05,1016,28
424,2016-02-29,21.75,17.5,0.125,1018,27.75
425,2016-03-01,22.25,19.5,0.475,1017,28
426,2016-03-02,22.75,17.25,0.325,1017.25,30
427,2016-03-03,22.5,18,0,1017.75,28.75
428,2016-03-04,22,18,0,1017.75,27.75
429,2016-03-05,23.25,15,0,1017.75,30
430,2016-03-06,23.5,17.5,0.05,1017.75,30.5
431,2016-03-07,23.25,16,0,1017.75,29
432,2016-03-08,24.5,15.5,0,1016.25,30.75
433,2016-03-09,24,13.25,0.15,1016,31
434,2016-03-10,23,17.5,0.275,1015.75,29.5
435,2016-03-11,23,18.5,0,1016,30
436,2016-03-12,23.75,17.5,0,1016.75,30
437,2016-03-13,24,15.5,0.75,1015.75,31
438,2016-03-14,24.5,15,0,1014,30.25
439,2016-03-15,23,18.5,0.275,1013.25,27.5
440,2016-03-16,22.5,18.75,0.35,1013.25,28
441,2016-03-17,22.5,17.5,0.575,1010.25,28.25
442,2016-03-18,21,17.25,0.1,1006.75,26.5
443,2016-03-19,20.5,13.25,0.325,1011.25,25.25
444,2016-03-20,20.25,17.5,0.725,1014.5,27
445,2016-03-21,20.75,15.5,0.9,1013.75,26.5
446,2016-03-22,21.25,19.25,0.425,1013,26
447,2016-03-23,20.75,12,0,1016.75,25.25
448,2016-03-24,21,10.75,0,1019,26.75
449,2016-03-25,20.75,10,0,1018.75,27
450,2016-03-26,20.5,11,0.025,1018,25
451,2016-03-27,19.75,13.5,1.1,1018,24.75
452,2016-03-28,19.5,10.75,0.1,1018.25,25.75
453,2016-03-29,19.75,11.5,0.05,1019.5,25
454,2016-03-30,20,8,0.1,1017.5,25.5
455,2016-03-31,19.75,12.75,0.05,1016.25,26
456,2016-04-01,20.75,15.5,0.05,1015.5,26.25
457,2016-04-02,20.5,10.25,0.025,1018.5,26.5
458,2016-04-03,20.25,10.75,0.075,1021,27.25
459,2016-04-04,20.75,17,0.1,1017.75,25.75
460,2016-04-05,20.75,19.5,0,1017.25,25.5
