Temp,Wind,Precip,Pressure,Heat,Brightness,FRP,Count,month
11.75,13.5,0.125,1023.25,15.5,321.8965184,47.85106383,517,August
11.5,20.25,0.025,1018.25,15.25,327.5577428,36.12664042,762,August
12.25,15.25,0.025,1019.25,16,322.9534606,47.57136038,419,August
11.75,10,0,1020.5,16.25,324.7361465,33.53996815,628,August
11.75,16.25,0,1019.25,15.25,325.5433028,38.56073394,545,August
12.75,10.75,0,1018.75,16.5,327.1850073,59.08034934,687,August
13.75,16.5,0.05,1016,18.25,330.5539446,50.3021322,469,August
13.75,16.75,0,1015,18.75,326.0875969,42.93449612,516,August
13.5,26.5,0.15,1013.75,18.5,333.5500654,64.40797386,765,August
13,15.75,0.075,1019.75,17,331.319963,62.37892791,541,August
13.25,7.5,0.025,1024,20.5,332.6469058,89.9026009,1115,August
14.5,11.75,0.075,1026,19.75,331.7602752,78.99688073,1090,August
14.25,11.5,0.175,1023,19.5,329.1291181,52.66996672,1202,August
14.25,12.5,0.225,1017.5,18.5,331.2090909,51.03964951,913,August
13.5,11.5,0.025,1019.25,17.5,326.7080627,46.47581187,893,August
13.75,14.75,0.2,1019.5,16.5,331.369511,52.54391179,1043,August
15.75,21.75,0.05,1018.75,20.25,330.27717,73.10665874,841,August
15,18.75,0.275,1016.75,19,333.3852986,74.07182236,653,August
15.25,13.75,0.175,1019.25,20.5,334.0736089,70.40413355,629,August
15,11.25,0.2,1021.5,19,329.0897152,45.07974684,632,August
15,15.25,0.225,1022,18.25,334.7990632,63.08805621,427,August
15,18.25,0.175,1020.25,19.25,336.0558,77.4282,500,August
14.75,11.25,0.075,1019.75,19.5,327.7567568,43.42378378,370,August
15.25,11.75,0.025,1019,21,329.3113846,44.33569231,325,August
14.25,13,0.025,1020.75,19,330.0861446,46.89608434,332,August
13.75,11.25,0.025,1020,19.5,326.2914286,45.08428571,210,August
13,13,0,1018.75,18.75,331.8517572,37.06070288,313,August
13,13.25,0,1015.75,18.75,324.0135057,41.71925287,348,August
12.5,17,0,1013.25,14.75,328.8720893,48.49968102,627,September
14.5,13.75,0.175,1020.5,18.25,334.2972265,93.29075501,649,September
14,19.75,0.325,1013.75,19.5,334.7860307,72.86456559,587,September
14,16.5,0.1,1020,18.25,337.5026826,86.58956781,671,September
14.5,16.5,0.3,1018.75,19.25,330.2023697,72.87867299,633,September
14.5,16.5,0.375,1018.5,19.25,340.2092219,66.44831892,1041,September
14,13.75,0,1021.75,19.75,330.9519793,69.21462995,581,September
15.75,13,0.125,1020,21,334.0190821,65.10181159,828,September
15.25,14.25,0,1021.75,20.75,330.3946698,79.09559676,863,September
15.5,18.25,0,1025.25,18.75,331.74651,61.50185185,1404,September
16.5,22,0.15,1024,22,339.3769156,109.356935,1031,September
17.5,18.25,0.025,1022.5,22.5,331.6450298,63.78697813,1006,September
16.5,17.25,0.025,1023,21.75,334.5748739,53.35459132,991,September
15.75,17,0.025,1021,21.75,330.7174923,47.14055728,646,September
15.25,16,0.1,1019.25,20.75,330.2657593,48.05157593,698,September
14.75,10.25,0.175,1018.5,21.75,328.2235105,63.0178744,621,September
15.5,16.75,0.125,1017,20.25,332.2086771,59.51337127,703,September
